Word,Root,Wordlength,Structure,Lexicality,Length,Frequency,Morphological Complexity,Zipf Frequency,Condition
argent,,6,r,real,short,high,simple,5.37,RSHS
girafe,,6,r,real,short,low,simple,3.14,RSLS
zombie,,6,r,real,short,medium,simple,3.65,RSHS
jamais,,6,r,real,short,high,simple,5.89,RSHS
bourde,,6,r,real,short,low,simple,3.06,RSLS
gloire,,6,r,real,short,high,simple,4.31,RSHS
glotte,,6,r,real,short,low,simple,2.46,RSLS
phrase,,6,r,real,short,high,simple,4.65,RSHS
pichet,,6,r,real,short,low,simple,2.72,RSLS
pierre,,6,r,real,short,high,simple,5.28,RSHS
pigeon,,6,r,real,short,medium,simple,3.68,RSHS
pignon,,6,r,real,short,low,simple,3.45,RSLS
