Pseudoword,Word,Lemma,Levenshtein_Distance,prs,n_morphemes,Length
pitle,pitre,pitre,7,"(0, 1, 0)",1,5
pémis,pénis,pénis,6,"(0, 1, 0)",1,5
piron,pilon,pilon,6,"(0, 1, 0)",1,5
phiro,philo,philo,6,"(0, 1, 0)",1,5
phale,phare,phare,7,"(0, 1, 0)",1,5
oldre,ordre,ordre,6,"(0, 1, 0)",1,5
olage,orage,orage,6,"(0, 1, 0)",1,5
opiun,opium,opium,5,"(0, 1, 0)",1,5
ognze,onze,onze,5,"(0, 1, 0)",1,5
oncre,oncle,oncle,5,"(0, 1, 0)",1,5
orive,olive,olive,6,"(0, 1, 0)",1,5
sonme,somme,somme,6,"(0, 1, 0)",1,5
sévil,sévir,sévir,6,"(0, 1, 0)",1,5
selra,serra,serrer,7,"(0, 1, 0)",1,5
algot,argot,argot,6,"(0, 1, 0)",1,5
alête,arête,arête,7,"(0, 1, 0)",1,5
alche,arche,arche,7,"(0, 1, 0)",1,5
albre,arbre,arbre,7,"(0, 1, 0)",1,5
alabe,arabe,arabe,7,"(0, 1, 0)",1,5
appwi,appui,appuyer,6,"(0, 1, 0)",1,5
apper,appel,appel,7,"(0, 1, 0)",1,5
toqye,toque,toque,5,"(0, 1, 0)",1,5
tonbe,tombe,tombe,6,"(0, 1, 0)",1,5
title,titre,titre,7,"(0, 1, 0)",1,5
telre,terre,terre,7,"(0, 1, 0)",1,5
oscal,oscar,oscar,5,"(0, 1, 0)",1,5
olque,orque,orque,5,"(0, 1, 0)",1,5
orgne,orme,orme,6,"(0, 1, 0)",1,5
orgwe,orgue,orgue,5,"(0, 1, 0)",1,5
olgie,orgie,orgie,6,"(0, 1, 0)",1,5
pelte,perte,perte,7,"(0, 1, 0)",1,5
pelso,perso,perso,6,"(0, 1, 0)",1,5
pélil,péril,péril,7,"(0, 1, 0)",1,5
pépim,pépin,pépin,7,"(0, 1, 0)",1,5
pemte,pente,pente,6,"(0, 1, 0)",1,5
pègle,pègre,pègre,7,"(0, 1, 0)",1,5
peayx,peaux,peaux,6,"(0, 1, 0)",1,5
pawse,pause,pause,7,"(0, 1, 0)",1,5
pâtle,pâtre,pâtre,7,"(0, 1, 0)",1,5
paing,pain,pain,7,"(0, 1, 0)",1,5
ovare,ovale,ovale,6,"(0, 1, 0)",1,5
owtil,outil,outil,6,"(0, 1, 0)",1,5
owest,ouest,ouest,6,"(0, 1, 0)",1,5
oubri,oubli,oubli,6,"(0, 1, 0)",1,5
oyate,ouate,ouate,6,"(0, 1, 0)",1,5
osiel,osier,osier,5,"(0, 1, 0)",1,5
patel,pater,pater,6,"(0, 1, 0)",1,5
palts,parts,part,7,"(0, 1, 0)",1,5
paloi,paroi,paroi,6,"(0, 1, 0)",1,5
parni,parmi,parmi,7,"(0, 1, 0)",1,5
palas,paras,paras,7,"(0, 1, 0)",1,5
paogn,paon,paon,6,"(0, 1, 0)",1,5
pares,pales,pales,7,"(0, 1, 0)",1,5
pegnd,pend,pendre,6,"(0, 1, 0)",1,5
perle,pelle,pelle,7,"(0, 1, 0)",1,5
talie,tarie,tarir,7,"(0, 1, 0)",1,5
tabre,table,table,7,"(0, 1, 0)",1,5
swrgi,surgi,surgir,7,"(0, 1, 0)",1,5
sucle,sucre,sucre,7,"(0, 1, 0)",1,5
angse,anse,anse,6,"(0, 1, 0)",1,5
agnis,anis,anis,6,"(0, 1, 0)",1,5
amgle,angle,angle,6,"(0, 1, 0)",1,5
angge,ange,ange,6,"(0, 1, 0)",1,5
ampre,ample,ample,7,"(0, 1, 0)",1,5
anger,amer,amer,6,"(0, 1, 0)",1,5
